calendar,smr,Ambient_TempAve,Ambient_TempMax,Ambient_TempMin,Blowby_Press_Max,Boost_Press_Max,Cool_Temp_Max,Cool_Temp_Min,ECO_ON,E_Oil_P_Hi_Min,E_Oil_P_Lo_Min,E_Oil_P_Max,Eng_Oil_Tmp_Max,Eng_Speed_Ave,Eng_Speed_Max,Fuel_Rate,LF_Exh_Temp_Max,LR_Exh_Temp_Max,RF_Exh_Temp_Max,RR_Exh_Temp_Max,TM_Oil_Temp_Max,TravelSpeed_Max
2024-01-02T03:16:48,62346.3,31,39,25,1339,142,85,26,43927,3.4,0.9,5.9,100,1460,2465,86.6,-32768,-32768,969,969,82,436
2024-01-04T06:29:28,62366.3,29,40,25,1184,142,85,33,31852,3.4,0.9,5.9,98,1350,2525,75.4,-32768,-32768,969,969,82,434
2024-01-06T03:21:31,62386.4,27,36,25,1039,142,83,30,45270,3.4,0.9,6,96,1418,2454,80.7,-32768,-32768,969,969,82,428
2024-01-07T15:54:56,62406.4,29,41,25,1273,143,84,36,44294,3.4,1,5.7,98,1431,2392,80.1,-32768,-32768,969,969,82,435
2024-01-09T07:43:00,62426.5,27,35,24,1005,142,84,28,17185,3.4,1,6,94,1468,2476,86.3,-32768,-32768,967,969,80,431
2024-01-15T04:03:42,62446.6,28,39,24,1960,146,81,27,39574,3.5,1,6.1,94,1338,2452,74.2,-32768,916,969,969,79,437
2024-01-16T12:36:09,62466.6,27,34,25,1423,144,79,43,21569,3.6,1,5.6,90,1338,2285,75.7,-32768,-32768,937,969,80,440
2024-01-18T02:07:27,62486.7,28,36,24,1116,144,82,40,41836,3.3,1,5.7,99,1411,2385,83.2,-32768,-32768,968,969,78,434
2024-01-20T05:39:06,62506.8,29,37,25,1298,143,85,28,42664,3.3,1,5.9,104,1396,2340,80.6,-32768,-32768,969,969,83,426
2024-01-21T09:21:50,62526.8,28,36,24,1315,145,87,40,41754,3.3,0.9,5.6,107,1424,2381,86.3,-32768,-32768,969,969,84,487
2024-01-22T20:59:54,62546.8,28,38,24,1841,146,84,36,44942,3.4,0.9,5.8,100,1435,2440,80.5,-32768,-32768,969,969,80,415
2024-01-23T20:58:19,62566.9,27,35,25,1517,145,85,57,48713,3.4,0.9,4.9,95,1424,2413,81.4,-32768,-32768,950,969,83,468
2024-01-25T08:47:00,62586.9,28,39,25,844,146,83,36,36225,3.4,0.9,5.7,96,1412,2524,80.9,-32768,-32768,969,969,80,430
2024-01-26T20:34:28,62607,28,35,25,1143,147,82,32,38334,3.4,0.9,5.7,94,1393,2477,79.3,-32768,-32768,968,969,79,474
2024-01-27T22:18:06,62627,29,39,25,1084,151,83,59,44438,3.4,0.9,5.2,96,1430,2456,82.2,-32768,-32768,954,969,80,455
2024-01-30T09:06:16,62647.1,30,41,24,1148,141,82,27,47220,3.4,1,5.8,95,1338,2531,65.7,-32768,-32768,969,969,79,471
2024-02-06T20:17:16,62667.3,28,39,24,1013,141,82,24,26509,3.5,1,6.1,95,1360,2468,72.7,957,956,969,969,80,473
